GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
475,5255NIG,69512,21/11/2013,2013,1,Violence against civilians,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Nigeria,Borno,Damboa,,Damboa,11.15604,12.75758,2,Leadership (Abuja),"Suspected Boko Haram attackers kill 12 people in Sandiya village, 85km from Maiduguri in Damboa LGA. The attackers also burned homes and stole property.",12
475,5256NIG,69513,21/11/2013,2013,1,Violence against civilians,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Nigeria,Adamawa,Yola North,,Yola,9.20000,12.48333,2,Xinhua News,Suspected Boko Haram gunmen shoot and kill six traders at the Kasuwar Gwari Market along Mubi By-pass.,6
475,5257NIG,69514,21/11/2013,2013,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),PDP: Peoples Democratic Party,7,37,Nigeria,Bayelsa,Ogbia,,Ogbia,4.77409,6.32686,2,Vanguard (Lagos),"Armed gunmen struck in the night-time hours, kidnapping the wife and daughter of the state Treasurer of the People’s Democratic Party (PDP). The latest kidnap occurred at the riverside town of Opume in Ogbia local government area of the state. It is not entirely clear if the attack was motivated by the victims political affiliation.",0
475,5258NIG,69515,22/11/2013,2013,1,Battle-No change of territory,Unidentified Communal Militia (Nigeria),,4,Unidentified Communal Militia (Nigeria),,4,44,Nigeria,Bayelsa,Yenegoa,,Yenagoa,4.92472,6.26417,1,Nigeria Punch,Five persons are killed in Yenagoa LGA in communal clash between Agudama-Epie and Akenfa communities over farmland.,5
475,5259NIG,69516,22/11/2013,2013,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),Government of Nigeria (1999-2015),7,37,Nigeria,Federal Capital Territory,Abuja Municipality,,Abuja,9.08333,7.53333,1,Premium Times (Abuja),"Unidentified gunmen fire shots at the car of the Minister of Aviation, no injury reported. The minister was not in the car when the incident took place.",0
475,5260NIG,69517,23/11/2013,2013,2,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Enugu,Uzo-Uwani,,Ogurugu,6.78558,6.95053,1,Vanguard (Lagos),"A group of 300 demonstrated at the Enugu Ezike Magistrates Court, Ogurute over the alleged recent killing of a 30 year old man by ritualists between Okpo and Amaja Communities in Igboeze North Local Government Area of Enugu State. The protesters were upset no arrests had been made the case.",0
475,5261NIG,69518,23/11/2013,2013,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Nigeria,Delta,Ughelli North,,Oghara,5.58893,6.10031,2,Leadership (Abuja),"Two men are assaulted and killed at Ukuku, Ogbenu in Oghara, Ethiope West local government area of Delta State by Fulani herdsmen.",2
475,5262NIG,69519,24/11/2013,2013,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Nigeria,Yobe,Gujba,,Gujba,11.50320,11.93670,1,Daily Trust (Abuja),Nigerian military forces launch an air assault on a Boko Haram location in Gujba. Causalities not known. This attack was coordinated with an air attack at Sambisa Forest in Borno.,0
475,5263NIG,69520,24/11/2013,2013,1,Remote violence,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Nigeria,Borno,Gwoza,,Gwoza,11.10359,13.71298,2,Daily Trust (Abuja),"A series of joint land air strikes in the Sambisa Forest area, 32 kilometres west of Gwoza in Borno State have killed 51 Boko Haram insurgents, according to the military.",51
475,5264NIG,69521,24/11/2013,2013,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Unidentified Armed Group (Nigeria),,3,13,Nigeria,Cross River,Calabar Municipal,,Calabar,4.96667,8.33333,3,Daily Trust (Abuja),"Military members discover and dismantle an emerging militants camp (not identified) in the Bakassi area of Cross River State, recovering weapons. Causalities not known.",0
